SKU;Nombre;EAN;Precio por unidad;Precio internet;Marca
4545;Palta Hass Malla  700 g;3422914750005;Precio x Kg : $2 842;2690;Palta
1345284;Palta Hass Chilena Granel  500 g;2000200000006;Precio x Kg : $4 990;2495;Palta
1092826;Palta Hass Extra Malla  1 kg;7804606491384;Precio x Kg : $4 790;4790;Palta
329684;Palta Negra La Cruz Malla  1 kg;340263795000;Precio x Kg : $4 150;4150;Palta
903805;Palta Edranol  1 1 kg;3464769390005;Precio x Kg : $4 190;4609;Palta
979846;Manzana Verde Bolsa  1 5 kg;3472897820004;Precio x Kg : $1 460;2190;Manzanas
979828;Manzana Gala Bolsa  1 5 kg;3472897810005;Precio x Kg : $1 460;2190;Manzanas
981181;Pera Bolsa  1 5 kg;3472899380001;Precio x Kg : $1 260;1890;Peras
326856;Pera Packams Granel  500 g (2 a 3 un aprox);2003120000002;Precio x Kg : $1 850;925;Peras
882732;Manzana Pink Lady Bolsa  1 kg;3464722900005;Precio x Kg : $1 590;1590;Manzanas
997787;Manzana Roja Bolsa  1 5 kg;3473062720006;Precio x Kg : $1 460;2190;Manzanas
829882;Manzana Pink Lady Granel  500 g (3 a 4 un aprox);2030130000005;Precio x Kg : $1 990;995;Manzanas
937548;Manzana Envy Bolsa  1 8 kg;3472674240001;Precio x Kg : $1 750;3150;Manzanas
902897;Manzana Jazz Bolsa  1 3 kg;3464768470005;Precio x Kg : $1 807;2350;Manzanas
325424;Pera Winter  500 g (2 a 3 un aprox);2003200000007;Precio x Kg : $1 850;925;Peras
667678;Manzana Fuji Granel  500 g;2002740000003;Precio x Kg : $1 990;995;Manzanas
1314089;Manzana Fuji Premium  4 Un;3475441330004;Precio x Un : $323;1290;Manzana
1329659;Manzana Mix Colores  1 5 kg;3475463530000;Precio x Kg : $1 460;2190;Manzana
829876;Manzana Verde Granel  500 g;2030100000004;Precio x Kg : $1 990;995;Manzanas
1333125;Manzana Fuji  1 kg;0400008737371;Precio x Kg : $1 000;1000;Manzana
829878;Manzana Roja Granel  500 g;2030110000001;Precio x Kg : $1 990;995;Manzanas
1357863;Mix Frutas  1 5 kg;0400001182727;Precio x Kg : $1 460;2190;.
829880;Manzana Gala Granel  1 kg;2030120000008;Precio x Kg : $1 990;1990;Manzanas
5027;Kiwi Bolsa  1 kg;3400685980005;Precio x Kg : $1 590;1590;Kiwi
326262;Kiwi Granel  500 g (5 a 7 un aprox);2003680000009;Precio x Kg : $2 750;1375;Kiwi
1167776;Uva Blanca Pote  900 g;3473571940002;Precio x Kg : $7 322;6590;Uva
1167782;Uva Rosada Pote  900 g;3473571930001;Precio x Kg : $7 322;6590;Uva
327292;Frutillas Pote  300 g;7804609130877;Precio x Kg : $8 166;2450;Frutillas
1217683;Arándano Importado  125 g;3473571700001;Precio x Kg : $11 920;1790;Arándano
1347694;Arándano Importado  312 g;7758452000392;Precio x Kg : $8 621;3190;Arándano
1357869;Frambuesas  70 g;7804609131997;Precio x Kg : $24 142;1690;Frambuesas
1112437;Piña Pelada Tubular  500 g;7804670730495;Precio x Kg : $7 100;3550;Your Fresh Market
425315;Piña  1 Un;3400055370009;Precio x Un : $2 350;2350;Piña
