Nombre;medida;Precio
Cola Cao Cereal Pillows Chocolate;1 X 400 g;$3.450
Natur Cereal Original Maiz;300 g;$2.650
Cola Cao Cereal Mini Pillows Chocolate;1 X 400 g;$3.450
Quaker Cereal Quadritos De Avena;1 X 340 g;$2.790
Corn Flakes Kelloggs- Caja 18;500 g;$4.150
En Línea Cereal Bolitas Chocolate;1 X 330 g;$2.450
En Línea Cereal Hojuelas de Chocolate;1 X 330 g;$2.350
Milo Cereal Integral;1 X 800 g;$3.990
En Línea Cereal Proteína Bolitas de Chocolate ;1 X 300 g;$4.490
Cola Cao Cereal Pillows Mini Manjar;1 X 400 g;$3.550
Natur Cereal Trigo Inflado Bolsa;300 g;$2.650
Natur Cereal Natural Arroz;1 X 300 g;$2.650
Kelloggs-Froot Loops Caja 24;370 g;$4.750
Kelloggs-Zucaritas Caja 18;730 g;$6.350
Plátano;1 Kg;$2.090
Limones ;1 X 1 Kg;$2.590
Naranja;1 Kg;$1.590
Manzana Fuji ;1 Kg;$2.190
Mix de Piña y Mango picado;1 X 420 g;$2.990
Piña sin cascara;470 g;$3.390
Limón Sutil;1 Kg;$3.890
Pera de Agua;1 Kg;$1.690
Apio Juliana Ensalada lista;300 g;$1.390
Repollo Zanahoria Ensalada lista;300 g;$1.550
Pro verde Ensalada Toscana Lista;1 X 300 g;$1.390
Cebollas Crujientes para Ensaladas;1 Und;$1.690
Lechuga Escarola Ensalada lista;300 g;$1.490
Racimo de Albahaca fresca;1 Und;$1.790
Cilantro;1 x 120 g;$690
Carne de Vacuno Lomo Liso;350 g;$6.290
Carne Molida Especial;1 X 1 Und;$4.590
Carne de Vacuno Lomo Vetado;350 g;$8.590
CuracaRibs Medio Pollo Ahumado;600 g;$8.490
CuracaRibs Carne De Cerdo Ribs;1 Und;$13.990
Bodyguard Alcohol en Aerosol;1 X 100 mL;$2.590
Neutrogena Toallitas Desmaquillantes;1 Und;$2.590
Bodyguard Alcohol en Gel al 70%;60 mL;$1.610
Alcohol Gel Para Manos Con Nano Cobre 60 mL;60 mL;$1.990
Pepsodent Pasta Dental Action Triple Antibacterial;3 X 75 g;$2.410
Oral-B Hilo Dental Essential Floss;2 X 25 m;$2.142$3.570
Colgate Crema Dental Kids Sabor Frutilla;1 X 50 g;$930$1.550
Oral-B Kids Cepillo Dental Mickey;1 X 2 Und;$1.770$3.540
Pepsodent Cepillo de Dientes para Niños Ultra Suave;1 X 1 Und;$1.554$2.590
Colgate Crema Dental Total 12 Clean Mint;1 Und;$4.250
Reach Hilo Dental Expansion Plus Menta;1 X 50 m;$3.510
Colgate Crema Dental Luminous White Brilliant;1 X 140 g;$5.190
